Модель,accuracy,f1,recall,precision,roc_auc_ovr,roc_auc_ovo
"Лучшая линейная
(TF-IDF + SVM)",0.704225352112676,0.703578154425612,0.7226160935838356,0.6969507101086049,0.8384082756657563,0.8421574770258982
"Лучшая нелинейная
(TF-IDF + KNN)",0.704225352112676,0.7082392552980789,0.7082289055973267,0.7116920842411038,0.8199838612186591,0.8235562865497075
"Лучшая DL
(Sentence transformer)",0.6619718309859155,0.6728867623604465,0.668233082706767,0.6831140350877193,0.8152319401505578,0.8237912489557226
Ансамбль,0.71831,0.722157,0.725773,0.719973,0.843613,0.848763
